Timestamp,Device ID,Channel,Sensor Name,Sensor ID,Data Type,Unit,Value
2021-03-30T13:00:14.950Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,1,Temperatura Medidor,9ec94d20-8f8f-11eb-b767-3f1a8f1211ba,temp,c,24.899999618530273
2021-03-30T13:00:13.768Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,3,Potenciometro,681e2140-8f9b-11eb-a2e4-b32ea624e442,analog_sensor,null,284
2021-03-30T13:00:13.767Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,2,Medidor Humedad,4cb9fb30-9037-11eb-a2e4-b32ea624e442,rel_hum,p,42.29999923706055
2021-03-30T13:00:13.661Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,1,Temperatura Medidor,9ec94d20-8f8f-11eb-b767-3f1a8f1211ba,temp,c,25
2021-03-30T13:00:13.172Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,3,Potenciometro,681e2140-8f9b-11eb-a2e4-b32ea624e442,analog_sensor,null,286
2021-03-30T13:00:12.727Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,2,Medidor Humedad,4cb9fb30-9037-11eb-a2e4-b32ea624e442,rel_hum,p,42.29999923706055
2021-03-30T13:00:12.653Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,1,Temperatura Medidor,9ec94d20-8f8f-11eb-b767-3f1a8f1211ba,temp,c,25
2021-03-30T13:00:11.990Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,3,Potenciometro,681e2140-8f9b-11eb-a2e4-b32ea624e442,analog_sensor,null,284
2021-03-30T13:00:11.871Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,1,Temperatura Medidor,9ec94d20-8f8f-11eb-b767-3f1a8f1211ba,temp,c,25
2021-03-30T13:00:11.443Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,2,Medidor Humedad,4cb9fb30-9037-11eb-a2e4-b32ea624e442,rel_hum,p,42
2021-03-30T13:00:10.663Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,2,Medidor Humedad,4cb9fb30-9037-11eb-a2e4-b32ea624e442,rel_hum,p,42
2021-03-30T13:00:10.454Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,3,Potenciometro,681e2140-8f9b-11eb-a2e4-b32ea624e442,analog_sensor,null,285
2021-03-30T13:00:10.354Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,1,Temperatura Medidor,9ec94d20-8f8f-11eb-b767-3f1a8f1211ba,temp,c,25
2021-03-30T13:00:09.294Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,2,Medidor Humedad,4cb9fb30-9037-11eb-a2e4-b32ea624e442,rel_hum,p,41.79999923706055
2021-03-30T13:00:09.190Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,3,Potenciometro,681e2140-8f9b-11eb-a2e4-b32ea624e442,analog_sensor,null,283
2021-03-30T13:00:09.152Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,1,Temperatura Medidor,9ec94d20-8f8f-11eb-b767-3f1a8f1211ba,temp,c,25
2021-03-30T13:00:08.130Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,2,Medidor Humedad,4cb9fb30-9037-11eb-a2e4-b32ea624e442,rel_hum,p,41.79999923706055
2021-03-30T13:00:08.130Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,3,Potenciometro,681e2140-8f9b-11eb-a2e4-b32ea624e442,analog_sensor,null,286
2021-03-30T13:00:08.061Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,1,Temperatura Medidor,9ec94d20-8f8f-11eb-b767-3f1a8f1211ba,temp,c,25
2021-03-30T13:00:06.901Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,2,Medidor Humedad,4cb9fb30-9037-11eb-a2e4-b32ea624e442,rel_hum,p,41.599998474121094
2021-03-30T13:00:06.893Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,3,Potenciometro,681e2140-8f9b-11eb-a2e4-b32ea624e442,analog_sensor,null,277
2021-03-30T13:00:06.787Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,1,Temperatura Medidor,9ec94d20-8f8f-11eb-b767-3f1a8f1211ba,temp,c,25.100000381469727
2021-03-30T13:00:05.849Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,3,Potenciometro,681e2140-8f9b-11eb-a2e4-b32ea624e442,analog_sensor,null,286
2021-03-30T13:00:05.845Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,2,Medidor Humedad,4cb9fb30-9037-11eb-a2e4-b32ea624e442,rel_hum,p,41.599998474121094
2021-03-30T13:00:05.783Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,1,Temperatura Medidor,9ec94d20-8f8f-11eb-b767-3f1a8f1211ba,temp,c,25.100000381469727
2021-03-30T13:00:04.635Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,1,Temperatura Medidor,9ec94d20-8f8f-11eb-b767-3f1a8f1211ba,temp,c,25.100000381469727
2021-03-30T13:00:04.571Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,3,Potenciometro,681e2140-8f9b-11eb-a2e4-b32ea624e442,analog_sensor,null,284
2021-03-30T13:00:04.568Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,2,Medidor Humedad,4cb9fb30-9037-11eb-a2e4-b32ea624e442,rel_hum,p,41.29999923706055
2021-03-30T13:00:03.620Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,3,Potenciometro,681e2140-8f9b-11eb-a2e4-b32ea624e442,analog_sensor,null,278
2021-03-30T13:00:03.596Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,2,Medidor Humedad,4cb9fb30-9037-11eb-a2e4-b32ea624e442,rel_hum,p,41.29999923706055
2021-03-30T13:00:03.471Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,1,Temperatura Medidor,9ec94d20-8f8f-11eb-b767-3f1a8f1211ba,temp,c,25.100000381469727
2021-03-30T13:00:02.289Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,3,Potenciometro,681e2140-8f9b-11eb-a2e4-b32ea624e442,analog_sensor,null,284
2021-03-30T13:00:01.239Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,3,Potenciometro,681e2140-8f9b-11eb-a2e4-b32ea624e442,analog_sensor,null,288
2021-03-30T12:59:22.136Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,1,Temperatura Medidor,9ec94d20-8f8f-11eb-b767-3f1a8f1211ba,temp,c,25.799999237060547
2021-03-30T12:59:21.037Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,2,Medidor Humedad,4cb9fb30-9037-11eb-a2e4-b32ea624e442,rel_hum,p,39.79999923706055
2021-03-30T12:59:21.011Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,3,Potenciometro,681e2140-8f9b-11eb-a2e4-b32ea624e442,analog_sensor,null,283
2021-03-30T12:59:20.932Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,1,Temperatura Medidor,9ec94d20-8f8f-11eb-b767-3f1a8f1211ba,temp,c,25.799999237060547
2021-03-30T12:59:19.974Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,3,Potenciometro,681e2140-8f9b-11eb-a2e4-b32ea624e442,analog_sensor,null,278
2021-03-30T12:59:19.916Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,2,Medidor Humedad,4cb9fb30-9037-11eb-a2e4-b32ea624e442,rel_hum,p,39.79999923706055
2021-03-30T12:59:19.838Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,1,Temperatura Medidor,9ec94d20-8f8f-11eb-b767-3f1a8f1211ba,temp,c,25.799999237060547
2021-03-30T12:59:18.935Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,2,Medidor Humedad,4cb9fb30-9037-11eb-a2e4-b32ea624e442,rel_hum,p,39.70000076293945
2021-03-30T12:59:18.932Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,3,Potenciometro,681e2140-8f9b-11eb-a2e4-b32ea624e442,analog_sensor,null,283
2021-03-30T12:59:18.608Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,1,Temperatura Medidor,9ec94d20-8f8f-11eb-b767-3f1a8f1211ba,temp,c,25.799999237060547
2021-03-30T12:59:18.056Z,66ea97c0-814c-11eb-b767-3f1a8f1211ba,3,Potenciometro,681e2140-8f9b-11eb-a2e4-b32ea624e442,analog_sensor,null,285
